subj,shot,timestamp,K
1,set_4,30.556916,0.371783
1,set_4,30.786848,-2.464834
1,set_4,30.836160,-2.928421
1,set_4,30.934796,-2.752344
1,set_4,31.066192,-3.194512
1,set_4,31.181247,-2.545735
1,set_4,31.493238,0.159975
1,set_4,31.526265,3.784793
1,set_4,31.887611,-1.293725
1,set_4,31.986244,2.659076
1,set_4,32.413374,1.722247
1,set_4,32.676252,-0.312422
1,set_4,32.791206,-0.105257
1,set_4,32.840524,0.328211
1,set_4,32.971924,-0.336294
1,set_4,33.201977,1.478769
1,set_4,33.399000,-1.186893
1,set_4,33.514125,0.462268
1,set_4,33.612746,-1.873323
1,set_4,33.743941,-2.418407
1,set_4,33.859005,-2.358307
1,set_4,33.990414,-0.694105
1,set_4,34.088940,0.451931
1,set_4,34.236921,1.924498
1,set_4,34.614678,-0.481479
1,set_4,34.680504,-0.316650
1,set_4,34.779057,1.099900
1,set_4,34.959853,0.455485
1,set_4,35.074695,-1.652473
1,set_4,35.156877,-0.086822
1,set_4,35.206239,-0.155914
1,set_4,35.337573,-0.472253
1,set_4,35.501846,-0.025862
1,set_4,35.567691,-0.018979
1,set_4,35.715380,-0.306303
1,set_4,35.781194,-0.117324
1,set_4,35.912672,0.537816
1,set_4,35.961877,0.087614
1,set_4,36.126193,0.672614
1,set_4,36.306919,2.262379
1,set_4,36.651926,-3.200635
1,set_4,36.766818,-2.619335
1,set_4,36.964109,-0.744436
1,set_4,37.062730,-0.925707
1,set_4,37.226979,0.239698
1,set_4,37.259627,0.103589
1,set_4,37.506147,-1.335811
1,set_4,37.571813,-0.653977
1,set_4,37.637690,0.535621
1,set_4,37.686910,-1.559293
1,set_4,37.785485,1.988734
1,set_4,38.048304,-0.488345
1,set_4,38.146863,-0.905555
1,set_4,38.212702,-0.412662
1,set_4,38.278295,2.507276
1,set_4,38.590548,-0.520696
1,set_4,38.656298,-0.085630
1,set_4,38.721805,-0.589171
1,set_4,38.853259,-0.394960
1,set_4,38.919078,-0.182097
1,set_4,39.001227,-0.253326
1,set_4,39.083385,-0.961600
1,set_4,39.181798,0.358721
1,set_4,39.264132,0.782541
1,set_4,39.395475,3.393846
1,set_4,39.789897,1.480456
1,set_4,39.970531,2.052440
1,set_4,40.216858,0.971391
1,set_4,40.611255,-1.530888
1,set_4,40.709730,0.971051
1,set_4,40.841235,0.985973
1,set_4,40.939786,-1.386081
1,set_4,41.054702,0.145045
1,set_4,41.087631,-0.492521
1,set_4,41.120502,-0.316152
